HomeTeam,AwayTeam,FTR,HST,AST,HAS,HDS,AAS,ADS,Result
Hull,Sunderland,A,6.0,5.0,0.395,0.705,0.968,1.472,-1
Leicester,Watford,H,5.0,7.0,0.852,0.876,0.496,0.756,1
Man City,Crystal Palace,H,12.0,2.0,2.786,1.508,0.924,1.026,1
Swansea,Everton,H,4.0,2.0,0.661,0.827,1.902,1.753,1
Arsenal,Man United,H,4.0,4.0,2.76,1.498,2.802,1.362,1
Liverpool,Southampton,D,8.0,0.0,2.642,1.352,1.124,1.251,0
Chelsea,Middlesbrough,H,7.0,1.0,2.742,1.333,0.593,0.819,1
Southampton,Arsenal,A,3.0,4.0,1.173,1.333,2.841,1.624,-1
Everton,Watford,H,6.0,2.0,2.096,1.858,0.496,0.756,1
West Brom,Chelsea,A,2.0,5.0,1.077,1.741,2.778,1.332,-1
Bournemouth,Burnley,H,6.0,3.0,0.502,0.72,0.598,0.856,1
Man City,Leicester,H,5.0,4.0,2.786,1.508,1.06,0.845,1
Middlesbrough,Southampton,A,3.0,4.0,0.745,0.885,1.124,1.251,-1
Stoke,Arsenal,A,4.0,6.0,0.915,1.036,2.841,1.624,-1
Sunderland,Swansea,A,4.0,3.0,0.908,1.479,0.618,0.786,-1
Crystal Palace,Hull,H,4.0,0.0,0.675,1.056,0.36,0.657,1
Tottenham,Man United,H,7.0,2.0,2.402,1.766,2.802,1.362,1
West Ham,Liverpool,A,3.0,11.0,1.59,2.004,2.709,1.561,-1
Chelsea,Watford,H,9.0,3.0,2.742,1.333,0.496,0.756,1
Arsenal,Sunderland,H,13.0,2.0,2.76,1.498,0.968,1.472,1
Man City,West Brom,H,10.0,2.0,2.786,1.508,1.041,1.498,1
Southampton,Man United,D,6.0,1.0,1.173,1.333,2.802,1.362,0
Leicester,Tottenham,A,5.0,12.0,0.852,0.876,2.422,1.812,-1
Arsenal,Everton,H,9.0,7.0,2.76,1.498,1.902,1.753,1
Burnley,West Ham,A,1.0,4.0,0.528,0.827,1.576,1.808,-1
Chelsea,Sunderland,H,8.0,3.0,2.742,1.333,0.968,1.472,1
Hull,Tottenham,A,4.0,14.0,0.395,0.705,2.422,1.812,-1
Leicester,Bournemouth,D,5.0,4.0,0.852,0.876,0.511,0.672,0
Liverpool,Middlesbrough,H,10.0,3.0,2.642,1.352,0.593,0.819,1
Man United,Crystal Palace,H,2.0,1.0,2.76,1.323,0.924,1.026,1
Southampton,Stoke,A,6.0,3.0,1.173,1.333,0.73,1.151,-1
Swansea,West Brom,H,2.0,5.0,0.661,0.827,1.041,1.498,1
Watford,Man City,A,3.0,9.0,0.513,0.773,2.758,1.601,-1
Bournemouth,Aston Villa,A,2.0,3.0,0.502,0.72,1.649,1.827,-1
Chelsea,Swansea,D,3.0,10.0,2.742,1.333,0.618,0.786,0
Everton,Watford,D,5.0,5.0,2.096,1.858,0.496,0.756,0
Leicester,Sunderland,H,8.0,5.0,0.852,0.876,0.968,1.472,1
Man United,Tottenham,H,1.0,4.0,2.76,1.323,2.422,1.812,1
Norwich,Crystal Palace,A,6.0,7.0,0.524,0.812,0.924,1.026,-1
Arsenal,West Ham,A,6.0,4.0,2.76,1.498,1.576,1.808,-1
Newcastle,Southampton,D,4.0,5.0,1.69,1.917,1.124,1.251,0
Stoke,Liverpool,A,1.0,3.0,0.915,1.036,2.709,1.561,-1
West Brom,Man City,A,2.0,7.0,1.077,1.741,2.758,1.601,-1
Aston Villa,Man United,A,1.0,2.0,1.376,1.717,2.802,1.362,-1
Southampton,Everton,A,4.0,4.0,1.173,1.333,1.902,1.753,-1
Sunderland,Norwich,A,2.0,6.0,0.908,1.479,0.394,0.841,-1
Swansea,Newcastle,H,6.0,2.0,0.661,0.827,1.523,1.959,1
Tottenham,Stoke,D,7.0,7.0,2.402,1.766,0.73,1.151,0
Watford,West Brom,D,5.0,0.0,0.513,0.773,1.041,1.498,0
West Ham,Leicester,A,3.0,6.0,1.59,2.004,1.06,0.845,-1
Crystal Palace,Arsenal,A,4.0,7.0,0.675,1.056,2.841,1.624,-1
Man City,Chelsea,H,8.0,3.0,2.786,1.508,2.778,1.332,1
Liverpool,Bournemouth,H,2.0,2.0,2.642,1.352,0.511,0.672,1
Crystal Palace,Aston Villa,H,6.0,2.0,0.675,1.056,1.649,1.827,1
Leicester,Tottenham,D,2.0,6.0,0.852,0.876,2.422,1.812,0
Man United,Newcastle,D,8.0,0.0,2.76,1.323,1.523,1.959,0
Norwich,Stoke,D,7.0,1.0,0.524,0.812,0.73,1.151,0
Sunderland,Swansea,D,2.0,9.0,0.908,1.479,0.618,0.786,0
West Ham,Bournemouth,A,4.0,7.0,1.59,2.004,0.511,0.672,-1
Everton,Man City,A,1.0,9.0,2.096,1.858,2.758,1.601,-1
Watford,Southampton,D,0.0,5.0,0.513,0.773,1.124,1.251,0
West Brom,Chelsea,A,6.0,5.0,1.077,1.741,2.778,1.332,-1
Arsenal,Liverpool,D,5.0,8.0,2.76,1.498,2.709,1.561,0
Aston Villa,Sunderland,D,6.0,3.0,1.376,1.717,0.968,1.472,0
Bournemouth,Leicester,D,2.0,2.0,0.502,0.72,1.06,0.845,0
Chelsea,Crystal Palace,A,9.0,6.0,2.742,1.333,0.924,1.026,-1
Liverpool,West Ham,A,1.0,5.0,2.642,1.352,1.576,1.808,-1
Man City,Watford,H,5.0,0.0,2.786,1.508,0.496,0.756,1
Newcastle,Arsenal,A,0.0,9.0,1.69,1.917,2.841,1.624,-1
Stoke,West Brom,A,5.0,5.0,0.915,1.036,1.041,1.498,-1
Tottenham,Everton,D,6.0,3.0,2.402,1.766,1.902,1.753,0
Southampton,Norwich,H,8.0,1.0,1.173,1.333,0.394,0.841,1
Swansea,Man United,H,4.0,4.0,0.661,0.827,2.802,1.362,1
Arsenal,Stoke,H,12.0,4.0,2.76,1.498,0.73,1.151,1
Crystal Palace,Man City,A,2.0,7.0,0.675,1.056,2.758,1.601,-1
Everton,Chelsea,H,9.0,2.0,2.096,1.858,2.778,1.332,1
Man United,Liverpool,H,3.0,4.0,2.76,1.323,2.709,1.561,1
Norwich,Bournemouth,H,4.0,2.0,0.524,0.812,0.511,0.672,1
Watford,Swansea,H,6.0,3.0,0.513,0.773,0.618,0.786,1
West Brom,Southampton,D,1.0,4.0,1.077,1.741,1.124,1.251,0
Leicester,Aston Villa,H,6.0,4.0,0.852,0.876,1.649,1.827,1
Sunderland,Tottenham,A,2.0,4.0,0.908,1.479,2.422,1.812,-1
West Ham,Newcastle,H,3.0,4.0,1.59,2.004,1.523,1.959,1
Aston Villa,West Brom,A,3.0,6.0,1.376,1.717,1.041,1.498,-1
Bournemouth,Sunderland,H,5.0,2.0,0.502,0.72,0.968,1.472,1
Chelsea,Arsenal,H,7.0,2.0,2.742,1.333,2.841,1.624,1
Man City,West Ham,A,8.0,3.0,2.786,1.508,1.576,1.808,-1
Newcastle,Watford,A,5.0,4.0,1.69,1.917,0.496,0.756,-1
Stoke,Leicester,D,4.0,5.0,0.915,1.036,1.06,0.845,0
Swansea,Everton,D,3.0,2.0,0.661,0.827,1.902,1.753,0
Liverpool,Norwich,D,7.0,2.0,2.642,1.352,0.394,0.841,0
Southampton,Man United,A,8.0,3.0,1.173,1.333,2.802,1.362,-1
Tottenham,Crystal Palace,H,6.0,4.0,2.402,1.766,0.924,1.026,1
Leicester,Arsenal,A,7.0,12.0,0.852,0.876,2.841,1.624,-1
Liverpool,Aston Villa,H,12.0,4.0,2.642,1.352,1.649,1.827,1
Man United,Sunderland,H,7.0,4.0,2.76,1.323,0.968,1.472,1
Newcastle,Chelsea,D,5.0,4.0,1.69,1.917,2.778,1.332,0
Southampton,Swansea,H,7.0,4.0,1.173,1.333,0.618,0.786,1
Stoke,Bournemouth,H,5.0,6.0,0.915,1.036,0.511,0.672,1
Tottenham,Man City,H,8.0,8.0,2.402,1.766,2.758,1.601,1
West Ham,Norwich,D,7.0,7.0,1.59,2.004,0.394,0.841,0
Watford,Crystal Palace,A,2.0,3.0,0.513,0.773,0.924,1.026,-1
West Brom,Everton,A,4.0,4.0,1.077,1.741,1.902,1.753,-1
Aston Villa,Stoke,A,2.0,5.0,1.376,1.717,0.73,1.151,-1
Bournemouth,Watford,D,6.0,2.0,0.502,0.72,0.496,0.756,0
Chelsea,Southampton,A,3.0,5.0,2.742,1.333,1.124,1.251,-1
Crystal Palace,West Brom,H,8.0,2.0,0.675,1.056,1.041,1.498,1
Man City,Newcastle,H,11.0,4.0,2.786,1.508,1.523,1.959,1
Norwich,Leicester,A,2.0,5.0,0.524,0.812,1.06,0.845,-1
Sunderland,West Ham,D,3.0,6.0,0.908,1.479,1.576,1.808,0
Arsenal,Man United,H,5.0,5.0,2.76,1.498,2.802,1.362,1
Everton,Liverpool,D,4.0,4.0,2.096,1.858,2.709,1.561,0
Swansea,Tottenham,D,2.0,11.0,0.661,0.827,2.422,1.812,0
Chelsea,Aston Villa,H,3.0,1.0,2.742,1.333,1.649,1.827,1
Crystal Palace,West Ham,A,1.0,4.0,0.675,1.056,1.576,1.808,-1
Everton,Man United,A,3.0,7.0,2.096,1.858,2.802,1.362,-1
Man City,Bournemouth,H,11.0,1.0,2.786,1.508,0.511,0.672,1
Southampton,Leicester,D,6.0,7.0,1.173,1.333,1.06,0.845,0
Tottenham,Liverpool,D,4.0,3.0,2.402,1.766,2.709,1.561,0
Watford,Arsenal,A,1.0,6.0,0.513,0.773,2.841,1.624,-1
West Brom,Sunderland,H,1.0,2.0,1.077,1.741,0.968,1.472,1
Newcastle,Norwich,H,6.0,6.0,1.69,1.917,0.394,0.841,1
Swansea,Stoke,A,2.0,2.0,0.661,0.827,0.73,1.151,-1
Arsenal,Everton,H,5.0,5.0,2.76,1.498,1.902,1.753,1
Aston Villa,Swansea,A,3.0,4.0,1.376,1.717,0.618,0.786,-1
Leicester,Crystal Palace,H,3.0,4.0,0.852,0.876,0.924,1.026,1
Norwich,West Brom,A,3.0,4.0,0.524,0.812,1.041,1.498,-1
Stoke,Watford,A,1.0,3.0,0.915,1.036,0.496,0.756,-1
West Ham,Chelsea,H,5.0,4.0,1.59,2.004,2.778,1.332,1
Bournemouth,Tottenham,A,3.0,9.0,0.502,0.72,2.422,1.812,-1
Liverpool,Southampton,D,2.0,3.0,2.642,1.352,1.124,1.251,0
Man United,Man City,D,1.0,1.0,2.76,1.323,2.758,1.601,0
Sunderland,Newcastle,H,3.0,8.0,0.908,1.479,1.523,1.959,1
Chelsea,Liverpool,A,2.0,7.0,2.742,1.333,2.709,1.561,-1
Crystal Palace,Man United,D,5.0,1.0,0.675,1.056,2.802,1.362,0
Man City,Norwich,H,5.0,3.0,2.786,1.508,0.394,0.841,1
Newcastle,Stoke,D,6.0,2.0,1.69,1.917,0.73,1.151,0
Swansea,Arsenal,A,3.0,5.0,0.661,0.827,2.841,1.624,-1
Watford,West Ham,H,5.0,3.0,0.513,0.773,1.576,1.808,1
West Brom,Leicester,A,6.0,5.0,1.077,1.741,1.06,0.845,-1
Everton,Sunderland,H,8.0,9.0,2.096,1.858,0.968,1.472,1
Southampton,Bournemouth,H,2.0,2.0,1.173,1.333,0.511,0.672,1
Tottenham,Aston Villa,H,6.0,2.0,2.402,1.766,1.649,1.827,1
Bournemouth,Newcastle,A,5.0,1.0,0.502,0.72,1.523,1.959,-1
Leicester,Watford,H,6.0,4.0,0.852,0.876,0.496,0.756,1
Man United,West Brom,H,3.0,0.0,2.76,1.323,1.041,1.498,1
Norwich,Swansea,H,5.0,0.0,0.524,0.812,0.618,0.786,1
Stoke,Chelsea,H,2.0,4.0,0.915,1.036,2.778,1.332,1
Sunderland,Southampton,A,3.0,4.0,0.908,1.479,1.124,1.251,-1
West Ham,Everton,D,5.0,4.0,1.59,2.004,1.902,1.753,0
Arsenal,Tottenham,D,4.0,4.0,2.76,1.498,2.422,1.812,0
Aston Villa,Man City,D,0.0,3.0,1.376,1.717,2.758,1.601,0
Liverpool,Crystal Palace,A,4.0,4.0,2.642,1.352,0.924,1.026,-1
Chelsea,Norwich,H,7.0,2.0,2.742,1.333,0.394,0.841,1
Everton,Aston Villa,H,9.0,3.0,2.096,1.858,1.649,1.827,1
Man City,Liverpool,A,3.0,9.0,2.786,1.508,2.709,1.561,-1
Newcastle,Leicester,A,1.0,7.0,1.69,1.917,1.06,0.845,-1
Southampton,Stoke,A,1.0,4.0,1.173,1.333,0.73,1.151,-1
Swansea,Bournemouth,D,4.0,4.0,0.661,0.827,0.511,0.672,0
Watford,Man United,A,5.0,6.0,0.513,0.773,2.802,1.362,-1
